,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
217_sim,-10.184569020689688,-5.373640146806033,4.0711203543250404e-07,0.12391788863772873,0.036226575218820306,2.5633155997102275e-07
218_sim,-6.802086726574803,-4.32231971045914,-1.3156206845715636e-05,0.7035109775324923,1.5125047747343805,6.345179993178181e-06
219_sim,-8.5418693339855,-4.765709184182086,-2.0293593642797296e-06,0.35576072106577283,0.31201624966908853,2.149740354450861e-06
220_sim,-7.413753521143119,-6.628564544770861,1.0457083802596913e-05,0.453214363094169,0.9197188836492772,4.7748656322122e-06
221_sim,-9.160393834473993,-4.662940409782336,-1.2130130402181721e-06,0.36844634403057697,0.21894090431444832,1.6003307131491831e-06
222_sim,-10.282679712708894,-5.812308004349511,5.409013313537304e-07,0.16611589874959223,0.046566075834045435,3.7107548329956436e-07
223_sim,-8.590271241561453,-5.395314350527024,4.704600857576132e-06,0.3634058781210451,0.31569905834397,2.155946668308215e-06
224_sim,-8.887035128864794,-4.722655955276164,2.416391517168018e-06,0.3695572825271397,0.2223324127113338,1.6039519392370636e-06
225_sim,-8.340729974859233,-4.611738719522702,-2.4134232418462664e-06,0.4339415994252795,0.38683833603342227,2.705595514470556e-06
226_sim,-7.637524432530283,-5.820449923969535,7.787956030166045e-06,0.4386868008055937,0.6869164823165028,3.901089428615836e-06
227_sim,-10.31269674360124,-5.029247553297655,1.2433397499403278e-06,0.5814545490352139,0.11977808067311041,8.810763406680408e-07
228_sim,-9.05302854469002,-5.875061784433511,3.213499068968406e-06,0.37360898103776313,0.2675626901420203,1.9480183309141447e-06
229_sim,-8.844390056320163,-5.40461377701065,3.846310151547171e-06,0.3809278675662794,0.28019915048365346,1.9874761935520774e-06
230_sim,-7.929138239550119,-5.9995165705265405,7.33386618923774e-06,0.41797362843940006,0.5626372902521084,3.3765281102851963e-06
231_sim,-8.314645555802137,-4.421413904035113,-1.9213878318068763e-06,0.47779240023139247,0.41828896718330405,2.9924319359713124e-06
232_sim,-8.501501009295149,-5.136742041334395,-2.122526292020004e-06,0.38076218753344726,0.3666640102202698,2.689186378215904e-06
