,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
427_sim,0.1188510957096417,-8.719946853928045,-4.858685942651972,2.2974888017626693e-06,0.002226209464953717,0.3430809866710427,0.2445174761112648,2.025926986668681e-06
428_sim,0.07780562182930043,-9.581757398598018,-6.25386448162353,1.2038210852434775e-06,0.0003867641780822973,0.13837314711278126,0.07445897008730168,5.097718546166974e-07
429_sim,0.10786322966723336,-9.533973423942806,-4.463424806808441,1.066981148895036e-06,0.0006864665885638126,0.20870054372596514,0.08559252884704131,6.9486824992421e-07
430_sim,0.10698918694438736,-9.363046130702458,-4.779631721751405,9.954697172952301e-07,0.0008872503205838922,0.23282998943865277,0.11320144725029423,9.123502777790007e-07
431_sim,0.1144138037285973,-8.670265054756067,-5.555515128391026,2.559964087344883e-06,0.002483490326114578,0.3753101900377375,0.3094496061142157,2.4960669530156184e-06
432_sim,0.09459981452318951,-9.76422444872425,-5.296650184647721,6.326935067300412e-07,0.0003584031344246472,0.15920679045978886,0.05929306058244197,4.545849930584595e-07
433_sim,0.12664268483611246,-9.147779897339696,-4.145782790378632,6.203936907819683e-07,0.001214586693808458,0.2526764221416255,0.1262177184053988,1.1092243690104902e-06
434_sim,0.1356852331914748,-9.325548536301003,-4.148095852493064,1.6256208426265216e-06,0.0013580258967131936,0.3097501466628767,0.14785313833484684,1.3610280414885237e-06
435_sim,0.09338081126200883,-9.335852133824032,-4.790353917743677,-1.206187293813781e-07,0.0007290521013670634,0.2303982243465302,0.10156505247567335,7.505514355459956e-07
436_sim,0.09274118841032891,-9.642165442870462,-5.098141677750343,9.457019151933822e-07,0.00028262991812507733,0.130455744096052,0.047091440571069745,3.490677420599891e-07
437_sim,0.09445899882421409,-9.7691468817872,-5.111341293142256,6.663489354518175e-07,0.0003074762158020939,0.1400702578705316,0.04952009216279198,3.789682542641478e-07
438_sim,0.07715633277224658,-9.707345050215084,-5.661668893420724,4.993230788852386e-07,0.00025311711165918664,0.10651948958153458,0.045860557636206466,3.1487592530434356e-07
439_sim,0.07384450530055445,-9.905950576463306,-5.841941202513857,1.0586469507079664e-06,0.00018895174295670413,0.1502410627497992,0.04403767019032248,2.854211195764038e-07
440_sim,0.08144640474125256,-9.349765266405981,-5.530330798347113,7.447404333593718e-07,0.0008789133201513266,0.2915474813584952,0.148365222135498,1.0048550064723618e-06
441_sim,0.07858421557189436,-10.048138483878509,-6.05806913109283,3.27449608755056e-07,0.00020823597334348996,0.0941683225293446,0.04017407827376713,2.818778951627829e-07
442_sim,0.13677797126157343,-9.842566962112537,-4.15778157359839,3.6231823634998373e-07,0.00034313446868937766,0.12244051844596703,0.0428027386767655,3.980632203597676e-07
443_sim,0.10173048262934481,-9.747563111471917,-4.894998631653458,1.5564304675900877e-07,0.00033180816082237636,0.1631727001012318,0.05327451936066595,4.1674950713330073e-07
444_sim,0.10793074805202266,-9.757075647630321,-4.678114959516385,-4.451938551992875e-08,0.00033752723139715335,0.12191431838272695,0.0461240116682485,3.7682921224864734e-07
445_sim,0.10334218347871407,-9.892859198156764,-5.123482336904379,7.953379625846781e-07,0.00028173738184227503,0.14553507130250343,0.046530080160966374,3.742577210998986e-07
446_sim,0.10790523551315988,-9.252676800929184,-4.775185640003866,9.174003630634225e-07,0.0008703711677386037,0.21431532365518435,0.10906366415713557,8.759539006237385e-07
447_sim,0.07932262128703815,-9.872826652008298,-5.959525845705186,-7.094130940409919e-07,0.0003933591685133337,0.16259020423716358,0.07396788467331883,5.143206943657834e-07
448_sim,0.13908254833043984,-9.754664730194978,-4.348806278957166,4.986507369653534e-07,0.00032590137287050484,0.12601454082053518,0.04462060268944803,4.1568604121753804e-07
449_sim,0.10729401667153644,-9.095297722744032,-5.0399243980559385,1.3725761627111552e-06,0.0009299758508983102,0.2019698082262306,0.11812672168843764,9.396597711908977e-07
450_sim,0.11193994166271533,-9.887337654350333,-4.741799714167612,-4.7480454755126595e-07,0.00030230748250380875,0.15918355444706062,0.04703068506321971,3.920342319313534e-07
451_sim,0.11136131059372611,-9.970213346547304,-4.970181714295707,4.554362976217105e-07,0.00018957800446838327,0.1160134171371667,0.032389046654550516,2.680775720985239e-07
452_sim,0.08919011642433364,-9.990365798178983,-5.463385842916357,1.0186941200102188e-07,0.0002087372367072837,0.09641315059080263,0.03585396457276142,2.651697476777618e-07
453_sim,0.10520401848043388,-9.772586886520811,-5.06188136826899,2.807012132774043e-07,0.0003553779631472415,0.12795408402046704,0.05204145227992163,4.2524960969715686e-07
454_sim,0.14488068693482192,-9.643303175339701,-3.857726869880344,7.932880059686204e-07,0.0006720624687576725,0.18397617520618753,0.07371141017468096,7.101420912031625e-07
455_sim,0.11217654994928936,-9.864555508176478,-4.552988691010594,4.881443756502011e-07,0.00023973258778488122,0.11986480796707946,0.03518978343538342,2.9421453552443883e-07
456_sim,0.09981280260322906,-10.191824307531661,-5.035233035415444,4.6802609422322697e-08,0.0002621535864416847,0.1841144607477349,0.045190016205622324,3.51744501786773e-07
457_sim,0.12469544823957823,-9.953172614451134,-4.283206323439584,7.762882155420782e-07,0.0003059611356194328,0.10921249353537968,0.03783549656607681,3.4034347865931753e-07
458_sim,0.10633234394041116,-9.812000829983113,-5.508624319690991,6.72961947536908e-07,0.00023258689976833857,0.08065470437871015,0.036712006553957705,3.013982511582727e-07
459_sim,0.132611389918406,-9.65323041814526,-4.0770618118078,-2.1576419510366618e-07,0.00047904027513286974,0.15005797795635661,0.05583696502208908,5.132147454960619e-07
460_sim,0.1106616508726771,-9.36387085578363,-4.663032009057263,1.1798712972328221e-06,0.0005931204810438161,0.17329018784982186,0.07709456436295446,6.274597947052361e-07
461_sim,0.10450750194241336,-9.681522110891452,-5.106964487696829,9.442914834961166e-07,0.00029572697038438066,0.10658674400103808,0.04398606426225793,3.5613408831228353e-07
462_sim,0.10320347339399807,-9.723069724246779,-4.277224604593568,1.1983861753877539e-06,0.00037805247734447236,0.16423190142724442,0.05028606587776746,4.014139324608722e-07
463_sim,0.12011673669801663,-8.135109729197412,-4.536315327202641,3.470867188207785e-06,0.005450022702366,0.5229205115859096,0.48592125033066047,3.89306429842884e-06
464_sim,0.10564851876433404,-8.91772872341735,-4.244736118299947,6.804135300446226e-07,0.002876721972521538,0.55117264221821,0.29608785861009196,2.3104767150815715e-06
465_sim,0.11059785106797175,-9.84197819450436,-4.915916939257997,2.706822779821633e-07,0.0002594312901708884,0.13340038808081014,0.04204341188957355,3.4461868399251606e-07
466_sim,0.09324004675453536,-9.270317986518567,-4.766259070657934,2.476155079654401e-07,0.0007983583210136433,0.2366333371952358,0.10860374027189652,7.986500885736583e-07
467_sim,0.09785883276352335,-9.919477679529939,-5.530230402124767,5.663224806256058e-07,0.00020958969056392865,0.0825940713689403,0.0345856320048559,2.706017580667478e-07
468_sim,0.11729349042431922,-9.775886837000163,-4.6149625358544535,8.426059881704573e-07,0.0002953554990990904,0.10352619525649207,0.03946848235519088,3.3799559983943374e-07
469_sim,0.11002719815985383,-9.94121339504404,-4.91010698272018,5.2939634287271375e-08,0.0002313235140319803,0.12980456274559501,0.03804003207444231,3.109314809146205e-07
470_sim,0.127755982152877,-8.71012348075272,-4.28758439420069,1.7882500857404935e-06,0.002159988430299926,0.3158285510629665,0.20784082782379948,1.802517738298143e-06
471_sim,0.09928523479262169,-9.833730131287421,-5.3811279627381134,2.8150678761357174e-07,0.00026301213336513563,0.11506558698375459,0.04395886130430552,3.4111070295080223e-07
472_sim,0.09837502420216936,-9.838027521496006,-4.962808733263621,4.0297659814481534e-07,0.0003019431242827677,0.11811705383735059,0.044878464216791085,3.495604377636156e-07
473_sim,0.08512866547264136,-9.694594531079897,-5.18826799411634,2.273599057193068e-07,0.0002807224644119757,0.12928010959663477,0.047245736243861074,3.3968931660400517e-07
474_sim,0.09921241018734227,-10.121165722459125,-5.2970223897108495,4.699722864074179e-07,0.00023551541435492965,0.13387490147594575,0.04044786615575892,3.15512821714136e-07
475_sim,0.09933281727652961,-9.855294020227037,-5.138322039551298,1.2856718102932892e-07,0.00025209299017889465,0.11330506332789896,0.04049409079059185,3.143065857286459e-07
476_sim,0.09848173302497973,-9.673621737059165,-4.984165131482729,8.008954764168653e-07,0.00034743040586680666,0.12183324540624463,0.05068837487457441,3.927010948029125e-07
477_sim,0.10755226107832713,-9.961410914011939,-4.839653187128945,4.940350641414532e-07,0.0002967328367751246,0.11973916201987672,0.042738293082276974,3.513915952723503e-07
478_sim,0.10313485980238667,-10.059373606720436,-5.362555199144825,3.7403956469033533e-07,0.0002135613267953737,0.13914730390439933,0.038892316018801706,3.131416298133352e-07
479_sim,0.11645866662781541,-8.356577146177447,-4.4094496428724,3.532615223223767e-06,0.004407342667357886,0.5139206126951777,0.40323600473953464,3.2172067581588763e-06
